104.18.77.139:443#N/A|138ms|0MB/s
172.65.245.207:443#N/A|138ms|0MB/s
104.17.177.38:443#N/A|138ms|0MB/s
104.16.18.108:443#N/A|138ms|0MB/s
104.19.198.148:443#N/A|138ms|0MB/s
104.16.21.223:443#N/A|138ms|0MB/s
104.17.248.21:443#N/A|138ms|0MB/s
104.17.211.137:443#N/A|138ms|0MB/s
104.19.180.239:443#N/A|138ms|0MB/s
104.16.182.132:443#N/A|138ms|0MB/s
104.18.65.151:443#N/A|138ms|0MB/s
104.18.241.101:443#N/A|138ms|0MB/s
198.41.192.174:443#N/A|139ms|0MB/s
104.17.45.0:443#N/A|139ms|0MB/s
172.64.176.12:443#N/A|139ms|0MB/s
104.19.77.219:443#N/A|139ms|0MB/s
104.16.241.41:443#N/A|139ms|0MB/s
104.16.17.253:443#N/A|139ms|0MB/s
104.17.172.64:443#N/A|139ms|0MB/s
190.93.246.152:443#N/A|139ms|0MB/s
104.18.82.130:443#N/A|139ms|0MB/s
104.17.47.206:443#N/A|139ms|0MB/s
104.16.152.50:443#N/A|140ms|0MB/s
104.18.70.242:443#N/A|140ms|0MB/s
104.17.131.119:443#N/A|140ms|0MB/s
104.18.92.220:443#N/A|140ms|0MB/s
104.17.169.90:443#N/A|140ms|0MB/s
104.17.50.162:443#N/A|140ms|0MB/s
104.17.235.98:443#N/A|140ms|0MB/s
172.65.213.139:443#N/A|140ms|0MB/s
104.18.85.154:443#N/A|140ms|0MB/s
104.18.173.234:443#N/A|140ms|0MB/s
104.17.49.4:443#N/A|141ms|0MB/s
104.18.162.182:443#N/A|141ms|0MB/s
172.64.67.28:443#N/A|141ms|0MB/s
104.17.123.146:443#N/A|141ms|0MB/s
104.18.189.146:443#N/A|141ms|0MB/s
104.19.22.176:443#N/A|141ms|0MB/s
104.17.179.90:443#N/A|141ms|0MB/s
104.16.128.28:443#N/A|141ms|0MB/s
172.64.97.65:443#N/A|141ms|0MB/s
104.17.210.31:443#N/A|141ms|0MB/s
104.19.23.57:443#N/A|141ms|0MB/s
104.17.242.252:443#N/A|142ms|0MB/s
104.21.236.114:443#N/A|142ms|0MB/s
104.16.22.76:443#N/A|142ms|0MB/s
104.17.42.100:443#N/A|142ms|0MB/s
104.18.144.251:443#N/A|142ms|0MB/s
104.19.12.26:443#N/A|142ms|0MB/s
104.16.200.175:443#N/A|142ms|0MB/s
104.17.48.207:443#N/A|142ms|0MB/s
104.18.228.60:443#N/A|142ms|0MB/s
104.16.221.213:443#N/A|142ms|0MB/s
104.16.27.240:443#N/A|142ms|0MB/s
104.18.224.66:443#N/A|142ms|0MB/s
104.16.191.250:443#N/A|142ms|0MB/s
104.18.29.165:443#N/A|142ms|0MB/s
104.17.162.176:443#N/A|142ms|0MB/s
104.16.4.125:443#N/A|142ms|0MB/s
104.17.54.55:443#N/A|142ms|0MB/s
104.16.143.75:443#N/A|142ms|0MB/s
104.16.244.3:443#N/A|142ms|0MB/s
104.18.185.51:443#N/A|142ms|0MB/s
104.16.228.111:443#N/A|142ms|0MB/s
104.21.227.186:443#N/A|142ms|0MB/s
104.18.19.58:443#N/A|142ms|0MB/s
104.19.151.59:443#N/A|142ms|0MB/s
104.17.190.162:443#N/A|142ms|0MB/s
104.19.84.156:443#N/A|142ms|0MB/s
104.19.199.73:443#N/A|142ms|0MB/s
104.18.225.32:443#N/A|143ms|0MB/s
104.16.41.91:443#N/A|143ms|0MB/s
104.16.135.156:443#N/A|143ms|0MB/s
104.19.216.100:443#N/A|143ms|0MB/s
104.16.66.110:443#N/A|143ms|0MB/s
104.17.213.115:443#N/A|143ms|0MB/s
104.16.79.143:443#N/A|143ms|0MB/s
104.16.139.226:443#N/A|143ms|0MB/s
162.159.240.70:443#N/A|143ms|0MB/s
104.18.222.86:443#N/A|143ms|0MB/s
104.19.133.138:443#N/A|143ms|0MB/s
104.16.195.222:443#N/A|143ms|0MB/s
104.19.19.51:443#N/A|143ms|0MB/s
104.17.154.158:443#N/A|143ms|0MB/s
104.18.191.12:443#N/A|143ms|0MB/s
104.17.230.183:443#N/A|143ms|0MB/s
104.17.249.61:443#N/A|143ms|0MB/s
104.17.187.251:443#N/A|143ms|0MB/s
104.16.183.18:443#N/A|143ms|0MB/s
141.101.122.120:443#N/A|143ms|0MB/s
104.19.184.3:443#N/A|143ms|0MB/s
104.18.193.150:443#N/A|143ms|0MB/s
104.17.184.97:443#N/A|143ms|0MB/s
172.66.41.41:443#N/A|143ms|0MB/s
104.19.75.69:443#N/A|143ms|0MB/s
104.18.216.150:443#N/A|143ms|0MB/s
162.159.251.194:443#N/A|143ms|0MB/s
141.101.115.246:443#N/A|143ms|0MB/s
104.16.161.43:443#N/A|143ms|0MB/s
104.21.239.253:443#N/A|144ms|0MB/s
104.19.229.77:443#N/A|144ms|0MB/s
104.18.91.231:443#N/A|144ms|0MB/s
172.65.221.175:443#N/A|144ms|0MB/s
104.18.124.7:443#N/A|144ms|0MB/s
104.18.237.188:443#N/A|144ms|0MB/s
104.19.10.201:443#N/A|144ms|0MB/s
162.159.241.142:443#N/A|144ms|0MB/s
104.17.4.23:443#N/A|144ms|0MB/s
104.17.31.228:443#N/A|144ms|0MB/s
104.16.94.82:443#N/A|144ms|0MB/s
104.18.245.180:443#N/A|144ms|0MB/s
104.16.178.220:443#N/A|144ms|0MB/s
104.17.63.245:443#N/A|144ms|0MB/s
162.159.197.92:443#N/A|144ms|0MB/s
104.18.23.80:443#N/A|144ms|0MB/s
104.17.39.135:443#N/A|144ms|0MB/s
162.159.195.96:443#N/A|144ms|0MB/s
104.19.247.118:443#N/A|144ms|0MB/s
104.16.198.102:443#N/A|144ms|0MB/s
104.18.54.16:443#N/A|145ms|0MB/s
104.16.207.227:443#N/A|145ms|0MB/s
104.19.89.245:443#N/A|145ms|0MB/s
104.17.20.207:443#N/A|145ms|0MB/s
104.17.16.70:443#N/A|145ms|0MB/s
104.17.82.39:443#N/A|145ms|0MB/s
104.16.112.157:443#N/A|145ms|0MB/s
172.65.220.221:443#N/A|145ms|0MB/s
104.18.235.203:443#N/A|145ms|0MB/s
104.21.237.66:443#N/A|145ms|0MB/s
104.19.136.243:443#N/A|145ms|0MB/s
104.18.89.194:443#N/A|145ms|0MB/s
104.18.18.181:443#N/A|145ms|0MB/s
104.19.233.206:443#N/A|145ms|0MB/s
172.65.205.31:443#N/A|145ms|0MB/s
104.19.131.156:443#N/A|145ms|0MB/s
104.21.231.62:443#N/A|145ms|0MB/s
104.18.247.234:443#N/A|145ms|0MB/s
104.18.127.79:443#N/A|145ms|0MB/s
104.19.104.210:443#N/A|145ms|0MB/s
104.19.183.13:443#N/A|145ms|0MB/s
104.17.125.221:443#N/A|145ms|0MB/s
104.16.12.86:443#N/A|145ms|0MB/s
104.17.240.30:443#N/A|145ms|0MB/s
104.16.123.121:443#N/A|145ms|0MB/s
104.19.226.117:443#N/A|145ms|0MB/s
104.19.160.241:443#N/A|145ms|0MB/s
104.18.74.239:443#N/A|145ms|0MB/s
104.18.213.80:443#N/A|146ms|0MB/s
104.18.252.77:443#N/A|146ms|0MB/s
104.19.96.53:443#N/A|146ms|0MB/s
104.18.139.142:443#N/A|146ms|0MB/s
104.17.33.18:443#N/A|146ms|0MB/s
104.18.246.16:443#N/A|146ms|0MB/s
104.19.220.127:443#N/A|146ms|0MB/s
104.17.66.217:443#N/A|146ms|0MB/s
198.41.194.249:443#N/A|146ms|0MB/s
104.16.147.196:443#N/A|146ms|0MB/s
172.66.45.133:443#N/A|146ms|0MB/s
104.19.40.165:443#N/A|146ms|0MB/s
104.17.245.191:443#N/A|146ms|0MB/s
104.18.230.144:443#N/A|146ms|0MB/s
104.18.88.1:443#N/A|146ms|0MB/s
104.19.73.131:443#N/A|146ms|0MB/s
104.17.160.91:443#N/A|146ms|0MB/s
104.19.47.26:443#N/A|146ms|0MB/s
104.18.52.246:443#N/A|146ms|0MB/s
104.18.26.80:443#N/A|146ms|0MB/s
104.18.107.241:443#N/A|146ms|0MB/s
104.19.168.190:443#N/A|146ms|0MB/s
104.19.110.88:443#N/A|146ms|0MB/s
104.17.202.26:443#N/A|146ms|0MB/s
104.18.51.209:443#N/A|147ms|0MB/s
104.17.174.41:443#N/A|147ms|0MB/s
104.19.11.191:443#N/A|147ms|0MB/s
104.16.121.48:443#N/A|147ms|0MB/s
172.65.229.101:443#N/A|147ms|0MB/s
104.18.108.173:443#N/A|147ms|0MB/s
104.16.155.225:443#N/A|147ms|0MB/s
104.19.45.97:443#N/A|147ms|0MB/s
104.17.239.180:443#N/A|147ms|0MB/s
104.19.231.253:443#N/A|147ms|0MB/s
104.17.223.96:443#N/A|147ms|0MB/s
104.19.127.187:443#N/A|147ms|0MB/s
104.17.19.238:443#N/A|147ms|0MB/s
104.19.252.164:443#N/A|147ms|0MB/s
104.19.138.127:443#N/A|147ms|0MB/s
104.18.121.82:443#N/A|147ms|0MB/s
104.16.127.96:443#N/A|147ms|0MB/s
172.65.240.251:443#N/A|147ms|0MB/s
104.16.76.180:443#N/A|147ms|0MB/s
104.16.162.112:443#N/A|147ms|0MB/s
104.16.137.21:443#N/A|147ms|0MB/s
104.18.4.143:443#N/A|147ms|0MB/s
104.18.115.92:443#N/A|147ms|0MB/s
104.17.95.51:443#N/A|147ms|0MB/s
198.41.218.15:443#N/A|147ms|0MB/s
172.65.208.199:443#N/A|147ms|0MB/s
104.16.68.4:443#N/A|147ms|0MB/s
104.16.60.21:443#N/A|147ms|0MB/s
104.16.254.233:443#N/A|148ms|0MB/s
104.16.136.2:443#N/A|148ms|0MB/s
104.16.46.218:443#N/A|148ms|0MB/s
104.17.14.46:443#N/A|148ms|0MB/s
104.18.215.36:443#N/A|148ms|0MB/s
104.17.199.230:443#N/A|148ms|0MB/s
104.19.39.28:443#N/A|148ms|0MB/s
104.19.238.115:443#N/A|148ms|0MB/s
104.19.119.17:443#N/A|148ms|0MB/s
104.18.122.22:443#N/A|148ms|0MB/s
104.16.95.74:443#N/A|148ms|0MB/s
104.19.116.29:443#N/A|148ms|0MB/s
172.65.248.206:443#N/A|148ms|0MB/s
172.65.227.62:443#N/A|148ms|0MB/s
172.65.202.13:443#N/A|148ms|0MB/s
104.16.115.115:443#N/A|148ms|0MB/s
104.18.57.88:443#N/A|148ms|0MB/s
104.16.63.73:443#N/A|148ms|0MB/s
104.19.230.79:443#N/A|148ms|0MB/s
104.16.25.126:443#N/A|148ms|0MB/s
104.19.170.238:443#N/A|148ms|0MB/s
104.16.216.132:443#N/A|148ms|0MB/s
104.17.32.56:443#N/A|148ms|0MB/s
104.16.70.43:443#N/A|148ms|0MB/s
172.65.198.197:443#N/A|149ms|0MB/s
104.17.152.228:443#N/A|149ms|0MB/s
104.19.78.168:443#N/A|149ms|0MB/s
104.17.168.241:443#N/A|149ms|0MB/s
104.19.191.97:443#N/A|149ms|0MB/s
104.18.56.239:443#N/A|149ms|0MB/s
104.16.125.202:443#N/A|149ms|0MB/s
104.16.6.49:443#N/A|149ms|0MB/s
198.41.203.49:443#N/A|149ms|0MB/s
104.16.45.137:443#N/A|149ms|0MB/s
104.16.29.174:443#N/A|149ms|0MB/s
104.16.217.74:443#N/A|149ms|0MB/s
104.19.211.228:443#N/A|149ms|0MB/s
104.18.147.178:443#N/A|149ms|0MB/s
104.19.156.247:443#N/A|149ms|0MB/s
104.21.226.225:443#N/A|149ms|0MB/s
104.19.132.23:443#N/A|149ms|0MB/s
104.19.209.66:443#N/A|150ms|0MB/s
172.65.195.0:443#N/A|150ms|0MB/s
104.19.250.191:443#N/A|150ms|0MB/s
104.18.24.202:443#N/A|150ms|0MB/s
104.18.209.253:443#N/A|150ms|0MB/s
104.17.121.6:443#N/A|150ms|0MB/s
104.16.100.211:443#N/A|150ms|0MB/s
198.41.206.152:443#N/A|150ms|0MB/s
104.19.235.172:443#N/A|150ms|0MB/s
104.16.53.147:443#N/A|150ms|0MB/s
104.19.142.187:443#N/A|150ms|0MB/s
104.17.132.103:443#N/A|150ms|0MB/s
104.18.97.85:443#N/A|150ms|0MB/s
104.16.225.105:443#N/A|150ms|0MB/s
104.18.168.219:443#N/A|151ms|0MB/s
104.19.248.7:443#N/A|151ms|0MB/s
104.18.161.200:443#N/A|151ms|0MB/s
104.17.62.9:443#N/A|151ms|0MB/s
104.16.243.156:443#N/A|151ms|0MB/s
104.16.56.217:443#N/A|151ms|0MB/s
104.18.93.114:443#N/A|151ms|0MB/s
104.19.35.5:443#N/A|151ms|0MB/s
104.17.77.53:443#N/A|151ms|0MB/s
104.18.130.46:443#N/A|151ms|0MB/s
104.16.138.97:443#N/A|151ms|0MB/s
162.159.245.147:443#N/A|151ms|0MB/s
104.18.177.186:443#N/A|151ms|0MB/s
104.17.138.56:443#N/A|151ms|0MB/s
104.19.192.119:443#N/A|151ms|0MB/s
104.19.165.0:443#N/A|151ms|0MB/s
104.18.22.235:443#N/A|152ms|0MB/s
104.19.158.12:443#N/A|152ms|0MB/s
104.18.208.3:443#N/A|152ms|0MB/s
104.16.126.30:443#N/A|152ms|0MB/s
104.21.225.173:443#N/A|152ms|0MB/s
104.18.233.245:443#N/A|152ms|0MB/s
104.16.61.80:443#N/A|152ms|0MB/s
172.65.230.210:443#N/A|152ms|0MB/s
104.18.14.49:443#N/A|152ms|0MB/s
104.19.222.201:443#N/A|152ms|0MB/s
104.21.234.177:443#N/A|152ms|0MB/s
104.19.243.13:443#N/A|152ms|0MB/s
